# Complexity Case 8x6
ROWS,8
COLS,6
ELEVATION
1500,1550,1600,1580,1520,1490
1400,1420,1450,1440,1410,1380
1300,1320,1350,1340,1310,1280
1200,1220,1250,1240,1210,1180
1100,1120,1150,1140,1110,1080
1000,1020,1050,1040,1010,980
900,920,950,940,910,880
800,820,850,840,810,780
WALLS
9,8,8,12,9,12
1,0,0,0,0,4
1,15,0,15,0,4
1,0,0,0,0,4
1,0,15,0,15,4
1,0,0,0,0,4
1,15,0,15,0,4
3,2,2,2,2,6
ABSORPTION
60,60,60,60,60,60
60,60,60,60,60,60
60,60,60,60,60,60
60,60,60,60,60,60
60,60,60,60,60,60
60,60,60,60,60,60
60,60,60,60,60,60
60,60,60,60,60,60
TORTOISE
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,0
0,0,0,0,0,0
0,0,1,0,1,0
0,0,0,0,0,0
0,1,0,1,0,0
0,0,0,0,0,0
